measIndex,src,det,chromophore,roi,nKeep,nT,nReg,rcondXtX,stdY,stdXmin,warnIterLimit,status,errId,errMsg
1,1,3,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.82976573930058e-07,0,0,ok,,
2,1,3,HbR,PFC,5963,6529,3,6.42433172503826e-06,6.07798997490642e-08,0,0,ok,,
3,1,3,HbT,PFC,5963,6529,3,6.42433172503826e-06,1.74453749471115e-07,0,0,ok,,
4,2,1,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.99864253738606e-07,0,0,ok,,
5,2,1,HbR,PFC,5963,6529,3,6.42433172503826e-06,1.45604971822421e-07,0,0,ok,,
6,2,1,HbT,PFC,5963,6529,3,6.42433172503826e-06,1.16636433939029e-07,0,0,ok,,
7,2,2,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.44184526792949e-07,0,0,ok,,
8,2,2,HbR,PFC,5963,6529,3,6.42433172503826e-06,7.190326361785e-08,0,0,ok,,
9,2,5,HbR,PFC,5963,6529,3,6.42433172503826e-06,1.0676188234501e-07,0,0,ok,,
10,2,5,HbT,PFC,5963,6529,3,6.42433172503826e-06,7.15457076455017e-08,0,0,ok,,
11,3,2,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.30315903279255e-07,0,0,ok,,
12,3,2,HbR,PFC,5963,6529,3,6.42433172503826e-06,5.66416273358353e-08,0,0,ok,,
13,3,2,HbT,PFC,5963,6529,3,6.42433172503826e-06,1.15333114524298e-07,0,0,ok,,
14,3,3,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.76274659427504e-07,0,0,ok,,
15,3,3,HbR,PFC,5963,6529,3,6.42433172503826e-06,1.07530242741068e-07,0,0,ok,,
16,3,3,HbT,PFC,5963,6529,3,6.42433172503826e-06,1.0188256185853e-07,0,0,ok,,
17,3,6,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.46062098562158e-07,0,0,ok,,
18,3,6,HbR,PFC,5963,6529,3,6.42433172503826e-06,1.05734893830718e-07,0,0,ok,,
19,3,6,HbT,PFC,5963,6529,3,6.42433172503826e-06,8.00775942861057e-08,0,0,ok,,
20,4,5,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.65546374234347e-07,0,0,ok,,
21,4,5,HbR,PFC,5963,6529,3,6.42433172503826e-06,8.9430211829011e-08,0,0,ok,,
22,5,2,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.1134509163363e-07,0,0,ok,,
23,5,2,HbR,PFC,5963,6529,3,6.42433172503826e-06,5.94941733026509e-08,0,0,ok,,
24,5,2,HbT,PFC,5963,6529,3,6.42433172503826e-06,1.01265988761511e-07,0,0,ok,,
25,5,5,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.49789264377066e-07,0,0,ok,,
26,5,5,HbR,PFC,5963,6529,3,6.42433172503826e-06,1.34268469041771e-07,0,0,ok,,
27,5,5,HbT,PFC,5963,6529,3,6.42433172503826e-06,8.86155105445002e-08,0,0,ok,,
28,5,6,HbO,PFC,5963,6529,3,6.42433172503826e-06,9.45203139149823e-08,0,1,iter_limit,stats:statrobustfit:IterationLimit,Iteration limit reached.
29,5,6,HbR,PFC,5963,6529,3,6.42433172503826e-06,5.307946084339e-08,0,0,ok,,
30,5,6,HbT,PFC,5963,6529,3,6.42433172503826e-06,7.45683921638197e-08,0,0,ok,,
31,5,8,HbO,PFC,5963,6529,3,6.42433172503826e-06,4.04586159350662e-07,0,0,ok,,
32,5,8,HbR,PFC,5963,6529,3,6.42433172503826e-06,3.93443432957014e-07,0,0,ok,,
33,5,8,HbT,PFC,5963,6529,3,6.42433172503826e-06,7.72529870951238e-07,0,0,ok,,
34,6,3,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.75160477586715e-07,0,0,ok,,
35,6,3,HbR,PFC,5963,6529,3,6.42433172503826e-06,9.62355003090369e-08,0,1,iter_limit,stats:statrobustfit:IterationLimit,Iteration limit reached.
36,6,3,HbT,PFC,5963,6529,3,6.42433172503826e-06,1.15415473111044e-07,0,0,ok,,
37,6,4,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.74866390697709e-07,0,0,ok,,
38,6,4,HbR,PFC,5963,6529,3,6.42433172503826e-06,7.90964946457175e-08,0,1,iter_limit,stats:statrobustfit:IterationLimit,Iteration limit reached.
39,6,4,HbT,PFC,5963,6529,3,6.42433172503826e-06,1.29751279301269e-07,0,0,ok,,
40,6,6,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.30614136695932e-07,0,0,ok,,
41,6,6,HbR,PFC,5963,6529,3,6.42433172503826e-06,6.89700205861205e-08,0,0,ok,,
42,6,6,HbT,PFC,5963,6529,3,6.42433172503826e-06,8.71239922683357e-08,0,0,ok,,
43,7,8,HbO,PFC,5963,6529,3,6.42433172503826e-06,4.17939351296345e-07,0,0,ok,,
44,7,8,HbR,PFC,5963,6529,3,6.42433172503826e-06,3.99131756134754e-07,0,0,ok,,
45,7,8,HbT,PFC,5963,6529,3,6.42433172503826e-06,7.81167744178434e-07,0,0,ok,,
46,8,6,HbO,PFC,5963,6529,3,6.42433172503826e-06,1.13522477459286e-07,0,0,ok,,
47,8,6,HbR,PFC,5963,6529,3,6.42433172503826e-06,5.49057117184776e-08,0,0,ok,,
48,8,6,HbT,PFC,5963,6529,3,6.42433172503826e-06,1.16602160203598e-07,0,0,ok,,
49,8,7,HbO,PFC,5963,6529,3,6.42433172503826e-06,4.41746190898509e-07,0,0,ok,,
50,8,7,HbR,PFC,5963,6529,3,6.42433172503826e-06,4.3461152304106e-07,0,0,ok,,
51,8,7,HbT,PFC,5963,6529,3,6.42433172503826e-06,8.63561147719864e-07,0,0,ok,,
52,8,8,HbR,PFC,5963,6529,3,6.42433172503826e-06,4.11655598739396e-07,0,0,ok,,
53,8,8,HbT,PFC,5963,6529,3,6.42433172503826e-06,7.79307187381509e-07,0,1,iter_limit,stats:statrobustfit:IterationLimit,Iteration limit reached.
54,9,9,HbO,Temporal,5963,6529,3,6.42433172503826e-06,4.81371325406372e-07,0,0,ok,,
55,9,9,HbT,Temporal,5963,6529,3,6.42433172503826e-06,8.90845030182247e-07,0,0,ok,,
56,9,13,HbO,Temporal,5963,6529,3,6.42433172503826e-06,1.82170610337603e-07,0,0,ok,,
57,9,13,HbR,Temporal,5963,6529,3,6.42433172503826e-06,8.37773716902563e-08,0,0,ok,,
58,9,13,HbT,Temporal,5963,6529,3,6.42433172503826e-06,1.57615838952198e-07,0,0,ok,,
59,12,12,HbO,Temporal,5963,6529,3,6.42433172503826e-06,1.02710708335149e-07,0,0,ok,,
60,12,12,HbR,Temporal,5963,6529,3,6.42433172503826e-06,1.01078957940389e-07,0,0,ok,,
61,12,12,HbT,Temporal,5963,6529,3,6.42433172503826e-06,1.1965283815965e-07,0,0,ok,,
62,12,16,HbO,Temporal,5963,6529,3,6.42433172503826e-06,9.24947810305377e-08,0,0,ok,,
63,12,16,HbR,Temporal,5963,6529,3,6.42433172503826e-06,7.57531163772866e-08,0,0,ok,,
64,13,9,HbO,Temporal,5963,6529,3,6.42433172503826e-06,4.20034758542842e-07,0,0,ok,,
65,13,9,HbR,Temporal,5963,6529,3,6.42433172503826e-06,4.25529993778071e-07,0,0,ok,,
66,13,9,HbT,Temporal,5963,6529,3,6.42433172503826e-06,8.14666342666508e-07,0,0,ok,,
67,13,13,HbO,Temporal,5963,6529,3,6.42433172503826e-06,1.16586840909292e-07,0,0,ok,,
68,13,13,HbR,Temporal,5963,6529,3,6.42433172503826e-06,3.34558032766476e-08,0,0,ok,,
69,13,13,HbT,Temporal,5963,6529,3,6.42433172503826e-06,1.06638320583495e-07,0,0,ok,,
70,13,17,HbO,Temporal,5963,6529,3,6.42433172503826e-06,1.73326504091421e-07,0,0,ok,,
71,13,17,HbR,Temporal,5963,6529,3,6.42433172503826e-06,7.15316709420594e-08,0,0,ok,,
72,13,17,HbT,Temporal,5963,6529,3,6.42433172503826e-06,1.27614877146309e-07,0,0,ok,,
73,14,18,HbO,Parietal,5963,6529,3,6.42433172503826e-06,1.77663124408971e-07,0,0,ok,,
74,14,18,HbR,Parietal,5963,6529,3,6.42433172503826e-06,8.89996439391348e-08,0,0,ok,,
75,14,18,HbT,Parietal,5963,6529,3,6.42433172503826e-06,1.35170719818145e-07,0,0,ok,,
76,15,19,HbO,Parietal,5963,6529,3,6.42433172503826e-06,1.68359666109698e-07,0,0,ok,,
77,15,19,HbR,Parietal,5963,6529,3,6.42433172503826e-06,4.33310470958006e-08,0,0,ok,,
78,15,19,HbT,Parietal,5963,6529,3,6.42433172503826e-06,1.81674222742683e-07,0,0,ok,,
79,16,12,HbR,Temporal,5963,6529,3,6.42433172503826e-06,5.56039005444332e-08,0,0,ok,,
80,16,12,HbT,Temporal,5963,6529,3,6.42433172503826e-06,9.87825143566479e-08,0,0,ok,,
81,16,16,HbO,Temporal,5963,6529,3,6.42433172503826e-06,6.51625768055193e-08,0,0,ok,,
82,16,16,HbR,Temporal,5963,6529,3,6.42433172503826e-06,3.48415896716424e-08,0,0,ok,,
83,16,16,HbT,Temporal,5963,6529,3,6.42433172503826e-06,7.10437379186534e-08,0,0,ok,,
84,16,20,HbO,Temporal,5963,6529,3,6.42433172503826e-06,1.12813480801918e-07,0,0,ok,,
85,16,20,HbR,Temporal,5963,6529,3,6.42433172503826e-06,5.62807514678743e-08,0,0,ok,,
86,16,20,HbT,Temporal,5963,6529,3,6.42433172503826e-06,8.77264277942245e-08,0,0,ok,,
87,17,13,HbO,Temporal,5963,6529,3,6.42433172503826e-06,1.02204705459472e-07,0,0,ok,,
88,17,13,HbR,Temporal,5963,6529,3,6.42433172503826e-06,4.48852258125606e-08,0,0,ok,,
89,17,13,HbT,Temporal,5963,6529,3,6.42433172503826e-06,1.1028589394011e-07,0,0,ok,,
90,17,17,HbO,Temporal,5963,6529,3,6.42433172503826e-06,1.56535500444332e-07,0,0,ok,,
91,17,17,HbR,Temporal,5963,6529,3,6.42433172503826e-06,4.27545650136301e-08,0,0,ok,,
92,18,18,HbO,Parietal,5963,6529,3,6.42433172503826e-06,2.24555199783032e-07,0,0,ok,,
93,18,18,HbR,Parietal,5963,6529,3,6.42433172503826e-06,4.57924491792975e-08,0,0,ok,,
94,18,18,HbT,Parietal,5963,6529,3,6.42433172503826e-06,2.03794283753513e-07,0,0,ok,,
95,19,19,HbO,Parietal,5963,6529,3,6.42433172503826e-06,1.94004383314818e-07,0,1,iter_limit,stats:statrobustfit:IterationLimit,Iteration limit reached.
96,19,19,HbR,Parietal,5963,6529,3,6.42433172503826e-06,3.29185258114467e-08,0,0,ok,,
97,20,16,HbO,Temporal,5963,6529,3,6.42433172503826e-06,7.65146537241541e-08,0,0,ok,,
98,20,16,HbR,Temporal,5963,6529,3,6.42433172503826e-06,4.46064506577316e-08,0,0,ok,,
99,20,16,HbT,Temporal,5963,6529,3,6.42433172503826e-06,9.7810365990433e-08,0,0,ok,,
100,20,20,HbO,Temporal,5963,6529,3,6.42433172503826e-06,9.67301154578062e-08,0,0,ok,,
101,20,20,HbR,Temporal,5963,6529,3,6.42433172503826e-06,3.80539933821819e-08,0,0,ok,,
102,20,20,HbT,Temporal,5963,6529,3,6.42433172503826e-06,9.89058719242823e-08,0,0,ok,,
