subjId,condition,roi,chromophore,blockIndex,blockLabel,blockMean,nChannels
sub-002,task,LeftFrontal,HbO,1,Vegetable,-3.71638953473445e-08,5
sub-002,task,LeftFrontal,HbR,1,Vegetable,-4.24819580277159e-08,5
sub-002,task,LeftFrontal,HbO,2,Animal,-1.90943725828119e-07,5
sub-002,task,LeftFrontal,HbR,2,Animal,6.12104894063784e-08,5
sub-002,task,LeftFrontal,HbO,3,Flower,-1.25591514779152e-07,5
sub-002,task,LeftFrontal,HbR,3,Flower,-6.2073220328012e-08,5
sub-002,task,LeftFrontal,HbO,4,Instrument,-2.97444749121056e-07,5
sub-002,task,LeftFrontal,HbR,4,Instrument,1.8995407599541e-08,5
sub-002,task,LeftFrontal,HbO,5,Fruit,-2.84981083452064e-07,5
sub-002,task,LeftFrontal,HbR,5,Fruit,-3.50413838842422e-09,5
sub-002,task,LeftFrontal,HbO,6,Appliance,-2.70822294364064e-07,5
sub-002,task,LeftFrontal,HbR,6,Appliance,9.94302420482086e-08,5
sub-002,task,LeftTemporal,HbO,1,Vegetable,3.04737078984968e-08,6
sub-002,task,LeftTemporal,HbR,1,Vegetable,-2.88292329284443e-08,6
sub-002,task,LeftTemporal,HbO,2,Animal,-2.08988196131512e-07,6
sub-002,task,LeftTemporal,HbR,2,Animal,9.13184098877803e-08,6
sub-002,task,LeftTemporal,HbO,3,Flower,-1.61200566675442e-07,6
sub-002,task,LeftTemporal,HbR,3,Flower,4.84332574517506e-08,6
sub-002,task,LeftTemporal,HbO,4,Instrument,-1.02194372536112e-07,6
sub-002,task,LeftTemporal,HbR,4,Instrument,6.96816202924837e-08,6
sub-002,task,LeftTemporal,HbO,5,Fruit,-1.07539522285355e-07,6
sub-002,task,LeftTemporal,HbR,5,Fruit,-5.77615933772254e-09,6
sub-002,task,LeftTemporal,HbO,6,Appliance,1.89513796906646e-08,6
sub-002,task,LeftTemporal,HbR,6,Appliance,7.32290105227241e-08,6
sub-002,task,RightFrontal,HbO,1,Vegetable,-6.25879571895092e-08,4
sub-002,task,RightFrontal,HbR,1,Vegetable,-4.05669750026699e-08,4
sub-002,task,RightFrontal,HbO,2,Animal,-2.2903329333183e-07,4
sub-002,task,RightFrontal,HbR,2,Animal,5.36607672349658e-08,4
sub-002,task,RightFrontal,HbO,3,Flower,-6.38471671898239e-08,4
sub-002,task,RightFrontal,HbR,3,Flower,-1.00428524572886e-07,4
sub-002,task,RightFrontal,HbO,4,Instrument,-2.1784549551356e-07,4
sub-002,task,RightFrontal,HbR,4,Instrument,-1.52241302556777e-08,4
sub-002,task,RightFrontal,HbO,5,Fruit,-2.53972286745193e-07,4
sub-002,task,RightFrontal,HbR,5,Fruit,-1.96517985789948e-08,4
sub-002,task,RightFrontal,HbO,6,Appliance,-3.48423601023106e-07,4
sub-002,task,RightFrontal,HbR,6,Appliance,7.13822540947754e-08,4
sub-002,task,RightTemporal,HbO,1,Vegetable,1.78113849543569e-07,7
sub-002,task,RightTemporal,HbR,1,Vegetable,-1.24460538066481e-07,7
sub-002,task,RightTemporal,HbO,2,Animal,-5.92242893238638e-08,7
sub-002,task,RightTemporal,HbR,2,Animal,-5.63872485249442e-08,7
sub-002,task,RightTemporal,HbO,3,Flower,8.14083461847011e-09,7
sub-002,task,RightTemporal,HbR,3,Flower,-7.79887328088007e-08,7
sub-002,task,RightTemporal,HbO,4,Instrument,-2.92809215809195e-07,7
sub-002,task,RightTemporal,HbR,4,Instrument,-3.78774189547539e-08,7
sub-002,task,RightTemporal,HbO,5,Fruit,-4.51447321954654e-07,7
sub-002,task,RightTemporal,HbR,5,Fruit,-4.86872065280686e-08,7
sub-002,task,RightTemporal,HbO,6,Appliance,-2.3413481350416e-07,7
sub-002,task,RightTemporal,HbR,6,Appliance,-4.74380441426308e-08,7
